shape,position,space,own,equal,newBody,sameBody,nonThunk,onlyLeft,onlyRight
#levelTree,70,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,70,merge,1,0,0,0,1,0,0
#levelTree,70,mergeSort,1253,1194,40,4,0,15,5
#levelTree,71,inputTree,255,252,0,0,1,2,0
#levelTree,71,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,71,merge,1,0,0,0,1,0,0
#levelTree,71,mergeSort,1253,1231,9,3,0,10,0
#levelTree,72,inputTree,255,252,0,0,1,2,0
#levelTree,72,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,72,merge,1,0,0,0,1,0,0
#levelTree,72,mergeSort,1253,1234,3,6,0,10,0
#levelTree,73,inputTree,255,249,0,0,4,2,0
#levelTree,73,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,73,merge,1,0,0,0,1,0,0
#levelTree,73,mergeSort,1253,1198,40,2,0,13,3
#levelTree,74,inputTree,255,252,0,0,1,2,0
#levelTree,74,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,74,merge,1,0,0,0,1,0,0
#levelTree,74,mergeSort,1253,1233,7,4,0,9,0
#levelTree,75,inputTree,255,252,0,0,1,2,0
#levelTree,75,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,75,merge,1,0,0,0,1,0,0
#levelTree,75,mergeSort,1253,1233,4,6,0,10,0
#levelTree,76,inputTree,255,250,0,0,3,2,0
#levelTree,76,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,76,merge,1,0,0,0,1,0,0
#levelTree,76,mergeSort,1253,1180,51,2,0,20,10
#levelTree,77,inputTree,255,251,0,0,2,2,0
#levelTree,77,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,77,merge,1,0,0,0,1,0,0
#levelTree,77,mergeSort,1253,1212,25,3,0,13,2
#levelTree,78,inputTree,255,251,0,0,2,2,0
#levelTree,78,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,78,merge,1,0,0,0,1,0,0
#levelTree,78,mergeSort,1253,1225,8,7,0,13,2
#levelTree,79,inputTree,255,252,0,0,1,2,0
#levelTree,79,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,79,merge,1,0,0,0,1,0,0
#levelTree,79,mergeSort,1253,1170,56,0,0,27,0
#levelTree,80,inputTree,255,252,0,0,1,2,0
#levelTree,80,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,80,merge,1,0,0,0,1,0,0
#levelTree,80,mergeSort,1253,1229,10,4,0,10,0
#levelTree,81,inputTree,255,248,0,0,5,2,0
#levelTree,81,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,81,merge,1,0,0,0,1,0,0
#levelTree,81,mergeSort,1253,1052,130,3,0,68,14
#levelTree,82,inputTree,255,252,0,0,1,2,0
#levelTree,82,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,82,merge,1,0,0,0,1,0,0
#levelTree,82,mergeSort,1253,1239,6,2,0,6,0
#levelTree,83,inputTree,255,251,0,0,2,2,0
#levelTree,83,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,83,merge,1,0,0,0,1,0,0
#levelTree,83,mergeSort,1253,1188,56,1,0,8,0
#levelTree,84,inputTree,255,252,0,0,1,2,0
#levelTree,84,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,84,merge,1,0,0,0,1,0,0
#levelTree,84,mergeSort,1253,1204,38,3,0,8,0
#levelTree,85,inputTree,255,252,0,0,1,2,0
#levelTree,85,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,85,merge,1,0,0,0,1,0,0
#levelTree,85,mergeSort,1253,1228,15,2,0,8,0
#levelTree,86,inputTree,255,247,0,0,6,2,0
#levelTree,86,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,86,merge,1,0,0,0,1,0,0
#levelTree,86,mergeSort,1253,872,236,13,0,132,186
#levelTree,87,inputTree,255,251,0,0,2,2,0
#levelTree,87,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,87,merge,1,0,0,0,1,0,0
#levelTree,87,mergeSort,1253,1226,14,3,0,10,1
#levelTree,88,inputTree,255,252,0,0,1,2,0
#levelTree,88,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,88,merge,1,0,0,0,1,0,0
#levelTree,88,mergeSort,1253,1231,11,2,0,9,0
#levelTree,89,inputTree,255,251,0,0,2,2,0
#levelTree,89,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,89,merge,1,0,0,0,1,0,0
#levelTree,89,mergeSort,1253,1206,29,3,0,15,6
#levelTree,90,inputTree,255,251,0,0,2,2,0
#levelTree,90,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,90,merge,1,0,0,0,1,0,0
#levelTree,90,mergeSort,1253,1231,7,5,0,10,1
#levelTree,91,inputTree,255,252,0,0,1,2,0
#levelTree,91,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,91,merge,1,0,0,0,1,0,0
#levelTree,91,mergeSort,1253,1231,10,3,0,9,0
#levelTree,92,inputTree,255,250,0,0,3,2,0
#levelTree,92,lazyMergeSort,1,1,0,0,0,0,0
#levelTree,92,merge,1,0,0,0,1,0,0
#levelTree,92,mergeSort,1253,1216,23,2,0,12,1
#levelTree,93,inputTree,255,252,0,0,1,2,0
#levelTree,93,lazyMergeSort,1,1,0,0,0,0,0
