seed,size,pos,left,right,onlyLeft,onlyRight,equal,notEqual
671,32,15,160,156,4,0,146,10
14442,32,27,160,156,4,0,148,8
63,32,9,160,156,4,0,147,9
2978,32,18,160,156,4,0,148,8
8102,32,7,160,156,4,0,147,9
3875,32,31,160,156,4,0,146,10
4382,32,19,160,156,4,0,148,8
9722,32,10,160,156,4,0,142,14
4654,32,4,160,156,4,0,150,6
17114,32,15,160,156,4,0,146,10
17407,32,29,160,156,4,0,150,6
13362,32,19,160,156,4,0,148,8
5055,32,20,160,156,4,0,150,6
2930,32,30,160,156,4,0,150,6
24167,32,9,160,156,4,0,147,9
14129,32,15,160,156,4,0,146,10
14160,32,31,160,156,4,0,146,10
5382,64,31,320,316,4,0,306,10
8676,64,60,320,316,4,0,307,9
18612,64,59,320,316,4,0,308,8
3546,64,51,320,316,4,0,305,11
12813,64,19,320,316,4,0,308,8
10857,64,21,320,316,4,0,310,6
5939,64,63,320,316,4,0,303,13
10962,64,37,320,316,4,0,305,11
2577,64,37,320,316,4,0,305,11
8182,64,53,320,316,4,0,308,8
13954,64,55,320,316,4,0,310,6
10342,64,62,320,316,4,0,310,6
13166,64,47,320,316,4,0,294,22
17622,64,12,320,316,4,0,298,18
17838,64,55,320,316,4,0,310,6
7324,64,17,320,316,4,0,297,19
15236,64,47,320,316,4,0,294,22
18390,64,30,320,316,4,0,310,6
5123,64,29,320,316,4,0,310,6
9210,64,3,320,316,4,0,296,20
10977,64,4,320,316,4,0,310,6
302,64,37,320,316,4,0,305,11
19431,64,34,320,316,4,0,308,8
3338,64,21,320,316,4,0,310,6
12677,64,48,320,316,4,0,308,8
17502,64,16,320,316,4,0,310,6
13983,64,45,320,316,4,0,308,8
2319,64,3,320,316,4,0,296,20
14113,64,26,320,316,4,0,308,8
2784,64,63,320,316,4,0,303,13
10431,64,2,320,316,4,0,310,6
13343,64,4,320,316,4,0,310,6
5309,64,40,320,316,4,0,308,8
17636,64,63,320,316,4,0,303,13
633,64,9,320,316,4,0,307,9
6976,64,16,320,316,4,0,310,6
9570,64,36,320,316,4,0,310,6
19151,64,63,320,316,4,0,303,13
1102,64,25,320,316,4,0,301,15
8542,64,18,320,316,4,0,308,8
3729,64,46,320,316,4,0,308,8
9652,64,47,320,316,4,0,294,22
6401,64,12,320,316,4,0,298,18
15072,64,58,320,316,4,0,303,13
4792,64,20,320,316,4,0,310,6
18615,64,6,320,316,4,0,308,8
19287,64,57,320,316,4,0,306,10
7366,64,34,320,316,4,0,308,8
15665,64,30,320,316,4,0,310,6
1143,64,57,320,316,4,0,306,10
2204,64,29,320,316,4,0,310,6
1428,64,39,320,316,4,0,284,32
3305,64,32,320,316,4,0,310,6
4853,64,15,320,316,4,0,306,10
6328,64,28,320,316,4,0,299,17
5962,64,27,320,316,4,0,308,8
11077,64,14,320,316,4,0,310,6
3442,64,42,320,316,4,0,306,10
12802,64,3,320,316,4,0,296,20
14568,64,25,320,316,4,0,301,15
10160,64,3,320,316,4,0,296,20
4101,64,63,320,316,4,0,303,13
8819,64,12,320,316,4,0,298,18
443,64,43,320,316,4,0,296,20
19280,64,49,320,316,4,0,308,8
9867,64,26,320,316,4,0,308,8
15038,64,40,320,316,4,0,308,8
19153,64,62,320,316,4,0,310,6
16765,64,3,320,316,4,0,296,20
2144,64,3,320,316,4,0,296,20
19067,64,24,320,316,4,0,303,13
14245,64,62,320,316,4,0,310,6
18669,64,8,320,316,4,0,307,9
12459,64,16,320,316,4,0,310,6
2136,64,34,320,316,4,0,308,8
16865,64,19,320,316,4,0,308,8
4858,64,4,320,316,4,0,310,6
